SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
674798885,00089M01:01:23.332,0089 00:54:46,761.24,,1
674798886,00089M01:01:24.305,0089 00:54:47,761.18,,1
674798887,00089M01:01:25.279,0089 00:54:48,761.18,,1
674798888,00089M01:01:26.252,0089 00:54:49,761.15,,1
674798889,00089M01:01:27.225,0089 00:54:50,761.20,,1
674798890,00089M01:01:28.198,0089 00:54:51,761.15,,1
674798891,00089M01:01:29.172,0089 00:54:52,761.15,,1
674798892,00089M01:01:30.145,0089 00:54:53,761.22,,1
674798893,00089M01:01:31.118,0089 00:54:54,761.21,,1
674798894,00089M01:01:32.091,0089 00:54:54,761.26,,1
674798895,00089M01:01:33.065,0089 00:54:55,761.23,,1
674798896,00089M01:01:34.038,0089 00:54:56,761.25,,1
674798897,00089M01:01:35.011,0089 00:54:57,761.24,,1
674798898,00089M01:01:35.984,0089 00:54:58,761.19,,1
674798899,00089M01:01:36.958,0089 00:54:59,761.23,,1
674798900,00089M01:01:37.931,0089 00:55:00,761.18,,1
674798901,00089M01:01:38.904,0089 00:55:01,761.23,,1
674798902,00089M01:01:39.877,0089 00:55:02,761.21,,1
674798903,00089M01:01:40.851,0089 00:55:03,761.16,,1
674798904,00089M01:01:41.824,0089 00:55:04,761.22,,1
674798905,00089M01:01:42.797,0089 00:55:05,761.18,,1
674798906,00089M01:01:43.770,0089 00:55:06,761.22,,1
674798907,00089M01:01:44.744,0089 00:55:07,761.24,,1
674798908,00089M01:01:45.717,0089 00:55:08,761.22,,1
674798909,00089M01:01:46.690,0089 00:55:09,761.19,,1
674798910,00089M01:01:47.663,0089 00:55:10,761.19,,1
674798911,00089M01:01:48.637,0089 00:55:11,761.24,,1
674798912,00089M01:01:49.610,0089 00:55:12,761.24,,1
674798913,00089M01:01:50.583,0089 00:55:13,761.24,,1
674798914,00089M01:01:51.556,0089 00:55:14,761.26,,1
674798915,00089M01:01:52.530,0089 00:55:15,761.26,,1
674798916,00089M01:01:53.503,0089 00:55:16,761.23,,1
674798917,00089M01:01:54.476,0089 00:55:17,761.21,,1
